numSplits,split,accuracy,precision,recall,model,features
1,1,0.47077596173149744,0.47279956203516404,0.4661493379639679,Logistic Regression,mouse
1,1,0.4908607003403782,0.49859119326077134,0.5346673540264815,Logistic Regression,stats
1,1,0.48265105543289344,0.48833653762355694,0.500705448230953,Logistic Regression,items-hashed
1,1,0.4904646618003419,0.4958156912654653,0.5434637508139788,Logistic Regression,items-onehot
1,1,0.4901019347200778,0.49488480111756966,0.5449614716735403,Logistic Regression,items-starting
1,1,0.590691280983713,0.5790292344887209,0.6976421749511613,Logistic Regression,items-select
1,1,0.46928135278416744,0.4726017773906509,0.4831207944432386,Logistic Regression,mouse-stats
1,1,0.4670515669456501,0.4680743468311418,0.43886205773822445,Logistic Regression,mouse-items-hashed
1,1,0.466297680772272,0.46859247847327695,0.442524962014326,Logistic Regression,mouse-items-onehot
1,1,0.469286890917678,0.4695929523733893,0.4447525504666811,Logistic Regression,mouse-items-start
1,1,0.46481206612572734,0.4706930580893743,0.4875515519861081,Logistic Regression,mouse-items-select
1,1,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
1,1,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
1,1,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
1,1,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items_select
1,1,0.4808256205008477,0.48293541033270515,0.4868026915563274,Logistic Regression,mouse-stats-items-hashed
1,1,0.4811980548132631,0.48702778244390216,0.5133790970262643,Logistic Regression,mouse-stats-items-onehot
1,1,0.46853369959407337,0.4715651493121328,0.4528679183850661,Logistic Regression,mouse-stats-items-start
1,1,0.46890613907265816,0.4720259561107831,0.4462312784892554,Logistic Regression,mouse-stats-items-select
1,1,0.8521406151729772,0.9636329416383683,0.7367592793574994,Random Forest,mouse
1,1,0.8755987977704054,0.9354856529779131,0.8097487518992835,Random Forest,stats
1,1,0.8022218351039344,0.8606899305872894,0.7256891686563924,Random Forest,items-hashed
